type,by,pollutant,set_id
11,8,98,1
11,8,31,2
11,8,6,3
11,8,2,4
11,8,87,5
11,8,110,6
11,8,100,7
21,8,98,8
21,8,31,9
21,8,6,10
21,8,2,11
21,8,87,12
21,8,110,13
21,8,100,14
31,8,98,15
31,8,31,16
31,8,6,17
31,8,2,18
31,8,87,19
31,8,110,20
31,8,100,21
32,8,98,22
32,8,31,23
32,8,6,24
32,8,2,25
32,8,87,26
32,8,110,27
32,8,100,28
41,8,98,29
41,8,31,30
41,8,6,31
41,8,2,32
41,8,87,33
41,8,110,34
41,8,100,35
42,8,98,36
42,8,31,37
42,8,6,38
42,8,2,39
42,8,87,40
42,8,110,41
42,8,100,42
43,8,98,43
43,8,31,44
43,8,6,45
43,8,2,46
43,8,87,47
43,8,110,48
43,8,100,49
51,8,98,50
51,8,31,51
51,8,6,52
51,8,2,53
51,8,87,54
51,8,110,55
51,8,100,56
52,8,98,57
52,8,31,58
52,8,6,59
52,8,2,60
52,8,87,61
52,8,110,62
52,8,100,63
53,8,98,64
53,8,31,65
53,8,6,66
53,8,2,67
53,8,87,68
53,8,110,69
53,8,100,70
54,8,98,71
54,8,31,72
54,8,6,73
54,8,2,74
54,8,87,75
54,8,110,76
54,8,100,77
61,8,98,78
61,8,31,79
61,8,6,80
61,8,2,81
61,8,87,82
61,8,110,83
61,8,100,84
62,8,98,85
62,8,31,86
62,8,6,87
62,8,2,88
62,8,87,89
62,8,110,90
62,8,100,91
1,14,98,92
1,14,31,93
1,14,6,94
1,14,2,95
1,14,87,96
1,14,110,97
1,14,100,98
2,14,98,99
2,14,31,100
2,14,6,101
2,14,2,102
2,14,87,103
2,14,110,104
2,14,100,105
3,14,98,106
3,14,31,107
3,14,6,108
3,14,2,109
3,14,87,110
3,14,110,111
3,14,100,112
4,14,98,113
4,14,31,114
4,14,6,115
4,14,2,116
4,14,87,117
4,14,110,118
4,14,100,119
5,14,98,120
5,14,31,121
5,14,6,122
5,14,2,123
5,14,87,124
5,14,110,125
5,14,100,126
9,14,98,127
9,14,31,128
9,14,6,129
9,14,2,130
9,14,87,131
9,14,110,132
9,14,100,133
5,12,98,134
5,12,31,135
5,12,6,136
5,12,2,137
5,12,87,138
5,12,110,139
5,12,100,140
4,12,98,141
4,12,31,142
4,12,6,143
4,12,2,144
4,12,87,145
4,12,110,146
4,12,100,147
3,12,98,148
3,12,31,149
3,12,6,150
3,12,2,151
3,12,87,152
3,12,110,153
3,12,100,154
2,12,98,155
2,12,31,156
2,12,6,157
2,12,2,158
2,12,87,159
2,12,110,160
2,12,100,161
1,12,98,162
1,12,31,163
1,12,6,164
1,12,2,165
1,12,87,166
1,12,110,167
1,12,100,168
10,15,98,169
10,15,31,170
10,15,6,171
10,15,2,172
10,15,87,173
10,15,110,174
10,15,100,175
20,15,98,176
20,15,31,177
20,15,6,178
20,15,2,179
20,15,87,180
20,15,110,181
20,15,100,182
30,15,98,183
30,15,31,184
30,15,6,185
30,15,2,186
30,15,87,187
30,15,110,188
30,15,100,189
40,15,98,190
40,15,31,191
40,15,6,192
40,15,2,193
40,15,87,194
40,15,110,195
40,15,100,196
41,15,98,197
41,15,31,198
41,15,6,199
41,15,2,200
41,15,87,201
41,15,110,202
41,15,100,203
42,15,98,204
42,15,31,205
42,15,6,206
42,15,2,207
42,15,87,208
42,15,110,209
42,15,100,210
46,15,98,211
46,15,31,212
46,15,6,213
46,15,2,214
46,15,87,215
46,15,110,216
46,15,100,217
47,15,98,218
47,15,31,219
47,15,6,220
47,15,2,221
47,15,87,222
47,15,110,223
47,15,100,224
48,15,98,225
48,15,31,226
48,15,6,227
48,15,2,228
48,15,87,229
48,15,110,230
48,15,100,231
49,15,98,232
49,15,31,233
49,15,6,234
49,15,2,235
49,15,87,236
49,15,110,237
49,15,100,238
0,16,98,239
0,16,31,240
0,16,6,241
0,16,2,242
0,16,87,243
0,16,110,244
0,16,100,245
