name,type,excellent,success,fine,warning,danger
Overall,label,71,19,7,2,0
Overall,cumulative,71,90,97,100,100
By Fueltype,label,76,19,4,0,0
By Fueltype,cumulative,76,95,99,100,100
By Source,label,62,28,6,4,1
By Source,cumulative,62,89,95,99,100
CO,label,73,26,1,0,0
CO,cumulative,73,99,100,100,100
N20,label,67,16,6,10,2
N20,cumulative,67,82,88,98,100
SO2,label,26,41,20,12,0
SO2,cumulative,26,67,88,100,100
CO2e,label,79,16,4,1,0
CO2e,cumulative,79,95,99,100,100
PM10,label,74,24,1,0,1
PM10,cumulative,74,98,99,99,100
PM2.5,label,74,24,1,0,1
PM2.5,cumulative,74,98,99,99,100
