type,by,pollutant,set_id
11,8,98,1
11,8,31,2
11,8,6,3
11,8,2,4
11,8,110,6
11,8,100,7
21,8,98,8
21,8,31,9
21,8,6,10
21,8,2,11
21,8,110,13
21,8,100,14
31,8,98,15
31,8,31,16
31,8,6,17
31,8,2,18
31,8,110,20
31,8,100,21
32,8,98,22
32,8,31,23
32,8,6,24
32,8,2,25
32,8,110,27
32,8,100,28
41,8,98,29
41,8,31,30
41,8,6,31
41,8,2,32
41,8,110,34
41,8,100,35
42,8,98,36
42,8,31,37
42,8,6,38
42,8,2,39
42,8,110,41
42,8,100,42
43,8,98,43
43,8,31,44
43,8,6,45
43,8,2,46
43,8,110,48
43,8,100,49
51,8,98,50
51,8,31,51
51,8,6,52
51,8,2,53
51,8,110,55
51,8,100,56
52,8,98,57
52,8,31,58
52,8,6,59
52,8,2,60
52,8,110,62
52,8,100,63
53,8,98,64
53,8,31,65
53,8,6,66
53,8,2,67
53,8,110,69
53,8,100,70
54,8,98,71
54,8,31,72
54,8,6,73
54,8,2,74
54,8,110,76
54,8,100,77
61,8,98,78
61,8,31,79
61,8,6,80
61,8,2,81
61,8,110,83
61,8,100,84
62,8,98,85
62,8,31,86
62,8,6,87
62,8,2,88
62,8,110,90
62,8,100,91
1,14,98,92
1,14,31,93
1,14,6,94
1,14,2,95
1,14,110,97
1,14,100,98
2,14,98,99
2,14,31,100
2,14,6,101
2,14,2,102
2,14,110,104
2,14,100,105
3,14,98,106
3,14,31,107
3,14,6,108
3,14,2,109
3,14,110,111
3,14,100,112
4,14,98,113
4,14,31,114
4,14,6,115
4,14,2,116
4,14,110,118
4,14,100,119
5,14,98,120
5,14,31,121
5,14,6,122
5,14,2,123
5,14,110,125
5,14,100,126
9,14,98,127
9,14,31,128
9,14,6,129
9,14,2,130
9,14,110,132
9,14,100,133
0,16,98,239
0,16,31,240
0,16,6,241
0,16,2,242
0,16,110,244
0,16,100,245
