geoid,by,type,pollutant,adjr,sigma,df.residual,formula
d01001,15,2,98,0.8264105459783886,6069.253561704144,5,year + vmt + sourcehours + vehicles + starts + year * vmt + year * sourcehours + vmt * sourcehours
d01001,15,3,98,0.9800547390664076,1342.8472186948106,5,year + vmt + sourcehours + vehicles + starts + year * vmt + year * sourcehours + vmt * sourcehours
d01001,15,4,98,0.9920688737059535,98.1047965782784,5,year + vmt + sourcehours + vehicles + starts + year * vmt + year * sourcehours + vmt * sourcehours
d01001,15,5,98,0.9895207214060526,875.3444422880272,5,year + vmt + sourcehours + vehicles + starts + year * vmt + year * sourcehours + vmt * sourcehours
d01003,15,2,98,0.8293147383553219,18060.997752817228,5,year + vmt + sourcehours + vehicles + starts + year * vmt + year * sourcehours + vmt * sourcehours
d01003,15,3,98,0.9816261701567833,4995.473340267998,5,year + vmt + sourcehours + vehicles + starts + year * vmt + year * sourcehours + vmt * sourcehours
d01003,15,4,98,0.9917462777661143,613.1549931632143,5,year + vmt + sourcehours + vehicles + starts + year * vmt + year * sourcehours + vmt * sourcehours
d01003,15,5,98,0.98956561232174,6941.48572228778,5,year + vmt + sourcehours + vehicles + starts + year * vmt + year * sourcehours + vmt * sourcehours
d01005,15,2,98,NA,0,10,year + vmt + sourcehours + vehicles + starts + year * vmt + year * sourcehours + vmt * sourcehours
d01005,15,3,98,0.9827715488428563,1130.1451663896762,5,year + vmt + sourcehours + vehicles + starts + year * vmt + year * sourcehours + vmt * sourcehours
d01005,15,4,98,NA,0,10,year + vmt + sourcehours + vehicles + starts + year * vmt + year * sourcehours + vmt * sourcehours
d01005,15,5,98,0.9898840295408261,614.1104317747778,5,year + vmt + sourcehours + vehicles + starts + year * vmt + year * sourcehours + vmt * sourcehours
d01007,15,2,98,NA,0,10,year + vmt + sourcehours + vehicles + starts + year * vmt + year * sourcehours + vmt * sourcehours
d01007,15,3,98,0.9822469467342289,1418.3574975753993,5,year + vmt + sourcehours + vehicles + starts + year * vmt + year * sourcehours + vmt * sourcehours
